tconst,primaryTitle,startYear,genres
tt0064904,Hatchet for the Honeymoon,1970,"Horror,Mystery,Thriller"
tt0064905,Red Sun,1970,Crime
tt0064930,Santo vs. Blue Demon in Atlantis,1970,"Action,Adventure,Mystery"
tt0064931,The Knight of the Sword,1970,"Drama,History"
tt0064932,Santo and Blue Demon vs. the Monsters,1970,"Action,Adventure,Fantasy"
tt0064933,The World of the Dead,1970,"Action,Adventure,Drama"
tt0064949,Scream and Scream Again,1970,"Crime,Drama,Horror"
tt0064953,Secret Intentions,1970,Drama
tt0064963,The Set,1970,Drama
tt0064964,Overrun!,1970,War
tt0065012,"Some Will, Some Won't",1970,Comedy
tt0065040,Strange Holiday,1970,"Adventure,Family"
tt0065050,The Super Fight,1970,"Drama,Fantasy,Sport"
tt0065073,Taste the Blood of Dracula,1970,"Drama,Fantasy,Horror"
tt0065080,The Heist,1970,"Crime,Drama"
tt0065084,The Witnesses,1971,Drama
tt0065117,Adrift,1971,Drama
tt0065127,Tchaikovsky,1970,"Biography,Drama"
tt0065134,Two Mules for Sister Sara,1970,"Adventure,Romance,War"
tt0065143,The Bird with the Crystal Plumage,1970,"Horror,Mystery,Thriller"
tt0065168,The Nude Vampire,1970,Horror
tt0065171,The Vengeance of the Vampire Women,1970,"Action,Adventure,Fantasy"
tt0065210,Whirlpool,1970,"Drama,Thriller"
tt0065213,Wilbur and the Baby Factory,1970,Comedy
tt0065221,Wolfshead: The Legend of Robin Hood,1973,Adventure
tt0065222,Women and Bloody Terror,1970,"Crime,Drama,Horror"
tt0065235,"I Killed Einstein, Gentlemen",1970,"Comedy,Sci-Fi"
tt0065248,Zorro the Invincible,1971,Western
tt0065265,The Stud,1970,Comedy
tt0065331,"You Are a Widow, Sir!",1971,"Comedy,Sci-Fi"
tt0065360,"Tick, Tick, Tick",1970,"Action,Drama"
tt0065363,"The Daughter: I, a Woman Part III",1970,Drama
tt0065366,"Abel, Your Brother",1970,Drama
tt0065367,Dig Your Grave Friend... Sabata's Coming,1971,Western
tt0065370,Act of the Heart,1970,Drama
tt0065371,Adam at Six A.M.,1970,Drama
tt0065372,Adam's Woman,1970,Drama
tt0065374,The Adventurers,1970,"Action,Adventure,Drama"
tt0065375,The Adventures of Gerard,1970,"Adventure,Comedy,History"
tt0065376,Mr. Gullible,1970,"Comedy,Drama"
tt0065377,Airport,1970,"Action,Drama,Thriller"
tt0065378,May Morning,1970,Drama
tt0065380,Alex in Wonderland,1970,"Comedy,Drama"
tt0065384,All the Way Up,1970,Comedy
tt0065385,The Wedding Ring,1970,Mystery
tt0065390,The Amazing Transplant,1970,"Fantasy,Mystery"
tt0065391,The American Soldier,1970,Drama
tt0065393,The Friends,1971,Drama
tt0065396,Reconstruction,1970,"Crime,Drama"
tt0065398,And Soon the Darkness,1970,"Horror,Mystery,Thriller"
tt0065400,The Angel Levine,1970,Drama
tt0065401,Angel Unchained,1970,"Action,Drama,Thriller"
tt0065402,Angelica: The Young Vixen,1974,Drama
tt0065405,Angels Die Hard,1970,"Action,Drama"
tt0065406,Million Dollar Eel,1971,"Comedy,Crime"
tt0065407,The Animals,1970,Western
tt0065408,The Anonymous Venetian,1970,"Drama,Romance"
tt0065410,Aoom,1970,Fantasy
tt0065412,An Apple a Day,1970,"Comedy,Romance"
tt0065413,The Night of the Assassin,1970,Drama
tt0065417,Days and Nights in the Forest,1970,Drama
tt0065419,Face,1970,Drama
tt0065420,Long Live Robin Hood,1971,Adventure
tt0065421,The Aristocats,1970,"Adventure,Animation,Comedy"
tt0065422,"Arizona Colt, Hired Gun",1970,Western
tt0065424,Sweet Kill,1972,"Horror,Thriller"
tt0065425,Sabata the Killer,1970,"Comedy,Western"
tt0065430,A Very Crazy Asylum,1970,"Comedy,Drama"
tt0065436,Even Dwarfs Started Small,1970,"Comedy,Drama"
tt0065439,The Confession,1970,"Drama,History,Thriller"
tt0065441,The Baby Maker,1970,Drama
tt0065445,The Ball of Count Orgel,1970,Drama
tt0065446,The Ballad of Cable Hogue,1970,"Comedy,Drama,Romance"
tt0065448,A Baltic Tragedy,1970,Drama
tt0065450,Vengeance!,1970,"Action,Drama,Romance"
tt0065454,The Boat on the Grass,1971,Drama
tt0065456,Beast of Blood,1970,"Adventure,Horror"
tt0065458,The Amorous Adventures of a Young Postman,1970,"Comedy,Horror"
tt0065459,The Beloved,1971,Drama
tt0065460,The Beast,1970,"Action,Crime,Thriller"
tt0065462,Beneath the Planet of the Apes,1970,"Action,Adventure,Sci-Fi"
tt0065470,Bigfoot,1970,"Horror,Sci-Fi,Thriller"
tt0065474,Black Angels,1970,"Action,Drama"
tt0065475,Black Pearl,1970,Action
tt0065476,Blondie's Number One,1971,Drama
tt0065478,Blood Mania,1970,Horror
tt0065479,Blood of the Iron Maiden,1970,Horror
tt0065480,Bloodthirsty Butchers,1970,"Horror,Thriller"
tt0065481,Bloody Mama,1970,"Crime,Drama"
tt0065482,The Boatniks,1970,"Comedy,Family"
tt0065483,The Body Beneath,1970,Horror
tt0065488,The Boys in the Band,1970,Drama
tt0065489,Brancaleone at the Crusades,1970,"Adventure,Fantasy,History"
tt0065491,Mark of the Devil,1970,"Drama,History,Horror"
tt0065492,Brewster McCloud,1970,"Comedy,Fantasy"
tt0065493,The Bridge in the Jungle,1970,"Adventure,Drama"
tt0065495,Brothers Five,1970,"Action,Drama"
tt0065498,Brother Carl,1971,Drama
tt0065499,"Have a Good Funeral, My Friend... Sartana Will Pay",1970,Western
tt0065501,A Bullet for Pretty Boy,1970,"Action,Biography,Crime"
tt0065503,The Scandalous Adventures of Buraikan,1970,"Comedy,Drama"
tt0065506,Popsy Pop,1971,"Crime,Drama"
tt0065509,Sartana's Here... Trade Your Pistol for a Coffin,1970,Western
tt0065512,Cutting Heads,1970,Drama
tt0065514,Cactus in the Snow,1971,"Comedy,Drama"
tt0065518,The Year of the Cannibals,1970,Drama
tt0065520,Cannon for Cordoba,1970,"Action,Romance,Western"
tt0065521,Give Her the Moon,1970,"Comedy,Romance"
tt0065524,Carry on Loving,1970,"Comedy,Romance"
tt0065525,Carry on Up the Jungle,1970,"Adventure,Comedy"
tt0065527,A Pocketful of Chestnuts,1970,"Comedy,Romance"
tt0065528,Catch-22,1970,"Comedy,Drama,War"
tt0065533,The Seagull,1972,Drama
tt0065536,The Mushroom,1970,Drama
tt0065541,Chesty: A Tribute to a Legend,1976,"Biography,Documentary"
tt0065542,The Cheyenne Social Club,1970,"Comedy,Romance,Western"
tt0065544,Little Remi and Famous Dog Capi,1970,"Adventure,Animation,Drama"
tt0065545,Canticle,1970,Drama
tt0065547,Chisum,1970,"Biography,Western"
tt0065549,The Christine Jorgensen Story,1970,"Biography,Drama,Romance"
tt0065550,The Unholy Four,1970,Western
tt0065553,Five Dolls for an August Moon,1970,"Mystery,Thriller"
tt0065555,Violent City,1970,"Action,Crime,Thriller"
tt0065557,The Class Reunion,1972,Drama
tt0065560,Cockeyed Cowboys of Calico County,1970,"Comedy,Western"
tt0065561,The Mad Heart,1970,Drama
tt0065563,The Penal Colony,1970,Drama
tt0065565,Countdown to Vengeance,1971,"Crime,Drama"
tt0065568,The Weekend Murders,1970,"Comedy,Crime,Mystery"
tt0065569,Count Dracula,1970,"Drama,Horror"
tt0065571,The Conformist,1970,Drama
tt0065572,When Heroes Die,1970,War
tt0065573,Let's Have a Riot,1970,Comedy
tt0065574,Bust Out,1973,"Drama,Thriller"
tt0065575,"Cool It, Carol!",1970,"Comedy,Drama"
tt0065579,Cotton Comes to Harlem,1970,"Action,Comedy,Crime"
tt0065580,Countess Dracula,1971,Horror
tt0065581,Brotherly Love,1970,Drama
tt0065582,Cover Me Babe,1970,Drama
tt0065584,Safety Catch,1970,"Mystery,Thriller"
tt0065585,Crates,1970,Drama
tt0065586,Secret Life of a Schoolgirl Wife,1971,"Comedy,Drama"
tt0065588,Cleopatra,1970,"Animation,Biography,Comedy"
tt0065589,Cry of the Cormoran,1971,Comedy
tt0065591,Crimes of the Future,1970,"Comedy,Sci-Fi"
tt0065593,Cromwell,1970,"Biography,Drama,History"
tt0065595,Crucible of Horror,1971,"Drama,Horror,Thriller"
tt0065596,"Cry Blood, Apache",1970,Western
tt0065597,Cry of the Banshee,1970,Horror
tt0065598,Chronicle of a Lady,1971,Drama
tt0065600,"Four Murders Are Enough, Darling",1971,"Comedy,Crime"
tt0065607,Devilish Honeymoon,1970,"Comedy,Crime"
tt0065610,Darker Than Amber,1970,"Action,Drama,Mystery"
tt0065614,That Can't Shake Our Willi!,1970,Comedy
tt0065616,A Day at the Beach,1970,"Comedy,Drama"
tt0065618,Dead of Summer,1970,Drama
tt0065619,Deadline,1971,"Drama,Thriller"
tt0065620,Deadlock,1970,"Thriller,Western"
tt0065621,The Conjugal Debt,1970,Comedy
tt0065622,The Decameron,1971,"Comedy,Drama,History"
tt0065626,Play It Cool,1970,"Action,Crime,Drama"
tt0065631,Of Gods and the Undead,1970,Drama
tt0065636,Diary of a Mad Housewife,1970,"Comedy,Drama"
tt0065638,Stagecoach of the Condemned,1970,Western
tt0065641,Dionysus in '69,1970,Drama
tt0065643,The Dirty Mind of Young Sally,1973,Comedy
tt0065646,Django Defies Sartana,1970,Western
tt0065648,Doctor in Trouble,1970,Comedy
tt0065651,Bed & Board,1970,"Comedy,Drama"
tt0065656,Dorian Gray,1970,"Horror,Thriller"
tt0065659,Medical Doctor Sommer the Second,1970,Drama
tt0065660,"Dracula, Prisoner of Frankenstein",1972,Horror
tt0065661,Dear Irena,1970,Drama
tt0065662,The Pizza Triangle,1970,"Comedy,Drama,Romance"
tt0065663,The Dreamer,1970,Drama
tt0065669,The Dunwich Horror,1970,Horror
tt0065670,Twelve Chairs,1971,"Adventure,Comedy,Crime"
tt0065675,"Take Me, I'm Old Enough",1970,Drama
tt0065677,The Forbidden Photos of a Lady Above Suspicion,1970,"Mystery,Thriller"
tt0065681,Black Lemons,1970,"Action,Crime,Drama"
tt0065685,Eliza's Horoscope,1975,Drama
tt0065692,End of the Road,1970,"Comedy,Drama"
tt0065693,In the Folds of the Flesh,1970,"Drama,Horror,Thriller"
tt0065698,Angels with Burnt Wings,1970,"Crime,Drama,Romance"
tt0065700,Entertaining Mr Sloane,1970,"Comedy,Mystery"
tt0065701,Erika's Hot Summer,1971,"Drama,Romance"
tt0065703,First Love,1970,"Drama,History,Romance"
tt0065709,Every Home Should Have One,1970,Comedy
tt0065711,The Executioner,1970,"Drama,Thriller"
tt0065715,The Demise of Father Mouret,1970,Drama
tt0065720,Figures in a Landscape,1970,"Action,Thriller"
tt0065724,Five Easy Pieces,1970,Drama
tt0065726,Flap,1970,"Comedy,Drama,Western"
tt0065727,Flesh Feast,1970,"Fantasy,Horror,Mystery"
tt0065731,Fools,1970,Drama
tt0065735,Devil's Ransom,1971,"Crime,Thriller"
tt0065736,The Madman,1970,Drama
tt0065737,Fragment of Fear,1970,"Crime,Drama,Horror"
tt0065739,The Hostess Also Likes to Blow the Horn,1970,Comedy
tt0065740,The Hostess Exceeds All Bounds,1970,Comedy
tt0065744,The Shiver of the Vampires,1971,Horror
tt0065749,Slaughter on the Khyber Pass,1970,Adventure
tt0065750,Fury of the Wolfman,1972,Horror
tt0065756,Lady Chatterly Versus Fanny Hill,1971,Comedy
tt0065757,The Games,1970,"Drama,Sport"
tt0065760,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,1970,"Comedy,Drama,Sci-Fi"
tt0065761,The Cat o' Nine Tails,1971,"Horror,Mystery,Thriller"
tt0065767,The Militarists,1970,"Drama,War"
tt0065768,The Yellow House on Pinnasberg,1970,Comedy
tt0065769,The Troops on Vacation,1970,"Adventure,Comedy,Crime"
tt0065772,Claire's Knee,1970,"Drama,Romance"
tt0065775,Getting Straight,1970,"Comedy,Drama,Romance"
tt0065776,Space Amoeba,1970,"Adventure,Sci-Fi"
tt0065777,The Garden of the Finzi-Continis,1970,"Drama,History,War"
tt0065782,Sunflower,1970,"Drama,War"
tt0065783,Give God a Chance on Sunday,1970,Drama
tt0065784,Down with Your Hands... You Scum!,1971,Western
tt0065788,Goin' Down the Road,1970,Drama
tt0065790,Goodbye Gemini,1970,"Crime,Drama,Horror"
tt0065795,The Grasshopper,1970,"Drama,Romance"
tt0065797,The Great White Hope,1970,"Drama,Romance,Sport"
tt0065799,Pig Hunt,1970,Drama
tt0065801,The Big Mess,1971,"Comedy,Sci-Fi"
tt0065802,Guess What We Learned in School Today?,1970,Comedy
tt0065803,The Angry River,1971,"Action,Adventure"
tt0065804,Gold for the Tough Guys of the Prairie,1971,"Comedy,Western"
tt0065808,Gods of the Plague,1970,"Crime,Drama"
tt0065809,"Live Today, Die Tomorrow!",1970,Drama
tt0065810,Halls of Anger,1970,Drama
tt0065815,The Hard Ride,1971,"Action,Drama"
tt0065820,The Hawaiians,1970,Drama
tt0065825,Hell Boats,1970,"Drama,War"
tt0065826,Hell's Bloody Devils,1970,"Action,Crime,Drama"
tt0065828,Hello-Goodbye,1970,Comedy
tt0065832,Hercules in New York,1970,"Adventure,Comedy,Fantasy"
tt0065834,Heroic Purgatory,1970,"Drama,Fantasy"
tt0065835,Gentlemen in White Vests,1970,"Comedy,Crime"
tt0065836,"Hi, Mom!",1970,"Comedy,Drama"
tt0065839,Hoffman,1970,Comedy
tt0065842,Mr. Superinvisible,1970,"Comedy,Fantasy,Romance"
tt0065843,The Man in Hiding,1971,Drama
tt0065847,Homer,1970,Drama
tt0065850,Hornets' Nest,1970,"Action,Drama,War"
tt0065851,The Horror of Frankenstein,1970,"Drama,Horror,Sci-Fi"
tt0065852,Horror of the Blood Monsters,1970,"Adventure,Horror,Sci-Fi"
tt0065854,The House That Dripped Blood,1971,Horror
tt0065856,House of Dark Shadows,1970,"Drama,Fantasy,Horror"
tt0065859,How Do I Love Thee?,1970,"Comedy,Drama"
tt0065861,The Fed One,1970,"Drama,War"
tt0065862,Four Moods,1970,"Drama,Fantasy,Romance"
tt0065865,Hooray for the Blue Hussars,1970,"Comedy,Romance"
tt0065867,Husbands,1970,"Comedy,Drama"
tt0065871,I Love My Wife,1970,Comedy
tt0065872,I Never Sang for My Father,1970,Drama
tt0065874,I Walk the Line,1970,Drama
tt0065887,Incense for the Damned,1971,Horror
tt0065889,Investigation of a Citizen Above Suspicion,1970,"Crime,Drama"
tt0065890,Stranger That Kneels Beside the Shadow of a Corpse,1970,Western
tt0065891,Initiation,1970,Drama
tt0065892,Hard Women,1970,Thriller
tt0065897,Invasion,1970,Drama
tt0065905,Scream of the Demon Lover,1970,Horror
tt0065906,Jack Johnson,1970,"Documentary,Sport"
tt0065908,How I Unleashed World War II,1970,"Adventure,Comedy,War"
tt0065913,The Garden of Delights,1970,Drama
tt0065915,Libido: The Urge to Love,1971,"Comedy,Fantasy"
tt0065916,Joe,1970,"Drama,Thriller"
tt0065917,Jonathan,1970,"Drama,Horror"
tt0065918,Sensational Janine,1970,Comedy
tt0065919,The Wedding Day,1977,Comedy
tt0065920,The Joys of Jezebel,1970,"Comedy,Fantasy"
tt0065922,Julius Caesar,1970,"Drama,History,War"
tt0065925,"Run, Virgin, Run",1970,Comedy
tt0065926,Junket 89,1970,"Family,Sci-Fi"
tt0065932,Blind Woman's Curse,1970,"Action,Crime,Horror"
tt0065935,Catherine and Her Children,1975,Drama
tt0065938,Kelly's Heroes,1970,"Adventure,Comedy,War"
tt0065942,King of Swindlers,1970,Comedy
tt0065943,King of the Grizzlies,1970,"Family,Western"
tt0065944,King: A Filmed Record... Montgomery to Memphis,1970,"Biography,Documentary,History"
tt0065945,Breakout,1971,Drama
tt0065948,Landscape After Battle,1970,"Drama,History,Romance"
tt0065950,The Kremlin Letter,1970,"Crime,Drama,Thriller"
tt0065951,Strogoff,1970,Adventure
tt0065955,A Swedish Love Story,1970,"Drama,Romance"
tt0065957,The Lady in the Car with Glasses and a Gun,1970,Drama
tt0065958,Lady of Steel,1970,"Action,Adventure"
tt0065962,Land Raiders,1970,"Action,Western"
tt0065963,The Landlord,1970,"Comedy,Drama,Romance"
tt0065965,The Last Act of Martin Weston,1970,Drama
tt0065966,The Last Escape,1970,"Action,Drama,War"
tt0065967,The Last Grenade,1970,"Drama,War"
tt0065968,The Last Rebel,1971,Western
tt0065969,The Last Valley,1971,"Adventure,Drama,War"
tt0065970,The Lawyer,1970,"Crime,Drama,Mystery"
tt0065973,Summer Love,1970,"Action,Crime,Drama"
tt0065974,Leo the Last,1970,"Comedy,Drama"
tt0065975,Churchill's Leopards,1970,"Action,Thriller,War"
tt0065979,The Liberation of L.B. Jones,1970,"Crime,Drama,Romance"
tt0065981,The Lickerish Quartet,1970,Drama
tt0065983,Love Under 17,1971,"Comedy,Drama"
tt0065986,The Song of the Balalaika,1971,Drama
tt0065987,Handcuffs,1970,Drama
tt0065988,Little Big Man,1970,"Adventure,Comedy,Drama"
tt0065989,Little Fauss and Big Halsy,1970,Drama
tt0065991,His Name Was Holy Ghost,1972,"Comedy,Western"
tt0065992,Sartana Kills Them All,1970,"Comedy,Crime,Western"
tt0065999,The Hammer of God,1970,"Action,Crime,Drama"
tt0066001,The Looking Glass War,1970,"Action,Drama,Thriller"
tt0066002,Loot,1970,"Comedy,Crime"
tt0066009,Love Me Like I Do,1970,Drama
tt0066011,Love Story,1970,"Drama,Romance"
tt0066014,Love and Kisses,1971,Romance
tt0066015,Lovers and Other Relatives,1974,Comedy
tt0066016,Lovers and Other Strangers,1970,Comedy
tt0066017,Loving,1970,"Comedy,Drama"
tt0066018,Lucie and the Miracles,1970,"Comedy,Family,Fantasy"
tt0066020,Lucky Seven,1986,"Action,Comedy"
tt0066021,Lucky Seven Strike Again,1970,Comedy
tt0066024,Blushing Charlie,1970,Drama
